,Unnamed: 0,Title,Search,Location,Company,detail_url
2232,3711,Business Intelligence Analyst Intern,Data+analyst,"Philadelphia, PA","        Source One Management Services, LLC",/rc/clk?jk=869a642382655e8c&fccid=af9f1ba0e5be2260&vjs=3
2233,3712,"Revenue Analyst, Finance Department, Full-Time",Data+analyst,"Philadelphia, PA",        Hahnemann Healthcare,/rc/clk?jk=867386224980c565&fccid=47dcb1cfed080767&vjs=3
2234,3713,DATA ANALYST C,Data+analyst,"Philadelphia, PA",        University of Pennsylvania,/rc/clk?jk=2c32a61526193414&fccid=ebd944f3c244d667&vjs=3
2235,3714,Center for Digital Health Data Analyst,Data+analyst,"Philadelphia, PA",        University of Pennsylvania Health System,/rc/clk?jk=43a428e7e44d6ec8&fccid=36b76cf613fccb72&vjs=3
2236,3721,CMMS Data Analyst,Data+analyst,"Horsham, PA",        Inframark,/rc/clk?jk=4c41dbd15b91664f&fccid=3175a4b25101670e&vjs=3
2237,3722,Data Analyst,Data+analyst,"Philadelphia, PA",        Ajilon,/rc/clk?jk=d0bdd0bbd5b561d0&fccid=36342db33842980d&vjs=3
2238,3723,Data Analyst,Data+analyst,"Philadelphia, PA",        iTech Solutions,/company/iTech-Solutions/jobs/Data-Analyst-47c78ce40f9e0cfa?fccid=fe77ee2bc76bd6ad&vjs=3
2239,3724,Analyst I SDS-CEQI,Data+analyst,"Philadelphia, PA",        University of Pennsylvania Health System,/rc/clk?jk=288107abbb46e084&fccid=36b76cf613fccb72&vjs=3
2240,3725,Annuity Analyst - Inforce,Data+analyst,"Philadelphia, PA 19103 (Belmont area)",        Reliance Standard Life Insurance Company,/rc/clk?jk=7a34f95dfbadc9f1&fccid=f24978df57ff782e&vjs=3
2241,3726,Compliance Analyst,Data+analyst,"Philadelphia, PA",        goPuff,/rc/clk?jk=55cf5b5bf8b4dbae&fccid=8a2222c2ef6a251d&vjs=3
2242,3727,Communications Internship,Data+analyst,"Philadelphia, PA","        Source One Management Services, LLC",/rc/clk?jk=f843760ef2d39f05&fccid=af9f1ba0e5be2260&vjs=3
2243,3728,Qualitative Research Analyst,Data+analyst,"Philadelphia, PA 19110 (City Center West area)",        Research for Action,/rc/clk?jk=cd2ccc5b6dfcf328&fccid=66a663f705e7abc4&vjs=3
2244,3729,Data Privacy Analyst,Data+analyst,"Philadelphia, PA 19103 (Belmont area)",        FMC Corporation,/rc/clk?jk=0807ea984549c294&fccid=2e3f36bc3cf64031&vjs=3
2245,3730,Data Analyst,Data+analyst,"Conshohocken, PA 19428",        Monetate,/rc/clk?jk=ab3c90f7e66e8b23&fccid=221b50dbea62ade4&vjs=3
2246,3735,"Analyst, Logistics",Data+analyst,"Philadelphia, PA",        General Dynamics Information Technology,/rc/clk?jk=dde15c31b92b50c3&fccid=11caadcdc98800d4&vjs=3
2247,3736,"Marketing Analyst, Consumer Insights",Data+analyst,"Philadelphia, PA 19113",        Aramark,/rc/clk?jk=65eb8650d275cfb4&fccid=ef670f88bdb8a879&vjs=3
2248,3737,Research Analyst,Data+analyst,"Philadelphia, PA",        Athena Global Advisors,/rc/clk?jk=b4aeeec558cb4fb7&fccid=a4bd27cd99727400&vjs=3
2249,3738,Investigative Analyst - Data Analyst - Philly position,Data+analyst,"Lansdowne, PA",        Metasense,/company/Metasense/jobs/Investigative-Analyst-d561a4b492cd6711?fccid=c6a5f4f5e6d4a5e3&vjs=3
